probe	t	pval	logFC	p_adj
10025931577	-25.272802178480998	3.954435630917998e-88	-0.6409190476742347	1.5533023158245896e-83
10023817216	-24.027913588284164	1.877512148432024e-82	-0.3406287785359832	2.45828923968033e-78
10025934933	-25.540235265164497	1.3933508055862172e-82	-0.25469732475979456	2.45828923968033e-78
10025910121	-25.003928433474687	4.3543946950762023e-82	-0.5050625779321759	4.2760155905648306e-78
10023815084	-24.448004421479155	2.6786910676592112e-79	-0.6360333466292583	2.1043797027530766e-75
10025909874	-23.10188258223419	6.816239741775058e-78	-0.3890444356794842	4.4623649509487376e-74
10025904350	-22.801940811443227	9.946951301309737e-78	-0.384523837797292	5.5816606730778065e-74
10023809844	23.594329264297542	1.4317452659010548e-77	0.44436926094729823	7.029869255574179e-74
10025903309	23.102518601955136	2.832906300446127e-77	0.19624703905190055	1.2364062164613763e-73
10025908628	-22.846555028040846	1.517285301864766e-76	-0.2811098877811876	5.959896665724801e-73
10023810663	-22.834519836738554	2.1543156479026034e-76	-0.2687350887580645	7.692865331783115e-73
10023844672	-22.684390939926715	4.120842088732268e-76	-0.25287639054236694	1.348888977045029e-72
10025929110	-22.70149795656275	4.2305564743446587e-75	-0.2764152155520444	1.2782789100942938e-71
10023811506	-22.652448593799214	6.989413613356377e-75	-0.20137155300474913	1.9610297623759892e-71
10026391091	-23.92198909505088	5.827633153063369e-74	-0.5473004206670022	1.5260628683488608e-70
10025927323	-22.86053262010585	6.3530025334278924e-74	-0.3468668057413191	1.539711917816392e-70
10023814159	-22.19457378542931	6.663722658573997e-74	-0.4027332836966509	1.539711917816392e-70
10025903459	23.343317468966845	7.75962244586049e-74	0.1664460574936819	1.6933220537411113e-70
10025906772	-21.9084634973032	1.3984293894079678e-73	-0.2229440817438874	2.746515320797249e-70
10025911097	-23.714454456784942	1.372963153579823e-73	-0.4883620973107561	2.746515320797249e-70
10023822632	-24.151430720960285	1.6526878758247275e-73	-0.43526906451633457	2.950799080108877e-70
10023813901	-21.889797539013305	1.616408645001926e-73	-0.24950080942813846	2.950799080108877e-70
10025902315	23.43253556313847	2.1362390087127776e-73	0.4031404542079762	3.648324707053822e-70
10025907281	22.532308799734224	2.4459794172281364e-73	0.12827152870761702	4.003252979530049e-70
10025909612	-23.000752209644958	4.1417119905077984e-73	-0.4667008555756318	6.257171037967166e-70
10023810118	-22.30507178048907	4.1068944636259643e-73	-0.4341734282110951	6.257171037967166e-70
10023831050	-21.82850004442131	5.842874365351789e-73	-0.4757261557685638	8.500300187815493e-70
10023826947	-22.358785103116077	1.109953142517071e-72	-0.3778735525042943	1.557105694216805e-69
10025920196	-22.259984230820702	1.453333337759487e-72	-0.2973201499836532	1.9685149485238844e-69
10026391646	21.726151618021177	1.678966824849521e-72	0.21026985290610228	2.1449012636180931e-69
10025904242	-21.715727743674176	1.6927683088635663e-72	-0.1797178404578981	2.1449012636180931e-69
10023816478	22.418992529591215	2.4276409793741724e-72	0.21344959964689542	2.9799293021817963e-69
10023816681	-21.92105867267969	2.9450641677058385e-72	-0.4831900831862749	3.5055188032571314e-69
10025905029	23.102192848045405	3.5911762257731684e-72	0.36036993773710085	4.1488647690697075e-69
10023808640	-21.605988746712125	3.985317070509586e-72	-0.5192663214599321	4.472664415131901e-69
10023808880	-22.263271275356452	5.106288324846658e-72	-0.2889983034554674	5.571527927777132e-69
10023835545	-21.641294758911275	6.850904654229582e-72	-0.22464116616024243	7.273068508598324e-69
10023815322	-24.685608881820393	7.623503838010174e-72	-0.8959874224859256	7.880295546237886e-69
10025934766	-21.746321858926684	1.0253892352868527e-71	-0.39096200051935487	1.032751004155579e-68
10025904901	-21.59031518368303	1.3442296190515533e-71	-0.36173691819640436	1.3200334859086256e-68
10025911927	-21.71455915319529	2.6612936805274508e-71	-0.13004605843256833	2.549649165149226e-68
10023807541	-21.407264022305437	2.962020039247058e-71	-0.47414915039692823	2.7701939795624867e-68
10023824420	22.053782735294263	3.3921467850419033e-71	0.1702686088507011	3.098686644568511e-68
10025919866	-21.745279159830186	4.873351362548491e-71	-0.4834567477788987	4.350573670929653e-68
10025904226	21.65209669714192	7.534396104126287e-71	0.11928028201301746	6.576690643779568e-68
10023812404	23.120265059199983	9.860081561654238e-71	0.21573333839683578	8.419652255256054e-68
10023819392	-21.987339489798217	2.15235499347224e-70	-0.14045504617332527	1.7988192370976508e-67
10025905279	-22.015854072549136	2.4980949077788164e-70	-0.15635486989629543	2.0248565599851807e-67
10023841812	21.317000041669438	2.5259157698389477e-70	0.23853638007117323	2.0248565599851807e-67
10025911867	21.376413853202525	2.6550658333650165e-70	0.1789945774229854	2.0858197186915568e-67
10023836906	-22.17268668014483	3.608974801067885e-70	-0.24345505380717072	2.7796182389401276e-67
10023819992	-21.45058756410376	3.8559260609047726e-70	-0.40613232119317855	2.9127072244680666e-67
10023806845	-21.092498310698325	9.172940779490764e-70	-0.3018977113084857	6.798360638082966e-67
10031920499	-22.116787404011884	9.800759127535586e-70	-0.37927558084681123	7.129144787585146e-67
10023826884	-21.08503070024763	1.4879439041169373e-69	-0.35728250254924593	1.0626624827947873e-66
10025914163	-21.243294667286403	2.2175666372936728e-69	-0.1961038344705322	1.555464598444562e-66
10025907376	-21.90634384957296	2.630650957318127e-69	-0.1333194408674666	1.8128415719904563e-66
10025929428	-22.152650161513126	2.8021521159275617e-69	-0.18481416802502978	1.8977333640281832e-66
10023811812	-21.272801710037523	3.311629392426966e-69	-0.3265841188319704	2.2047593649920545e-66
10023812058	-20.96746381769895	3.5602148874820867e-69	-0.43875298702580645	2.3307540130049393e-66
10025910700	-21.683763393849958	3.941680564776166e-69	-0.20750623262804394	2.5381838128591446e-66
10025903639	21.437090747538182	4.488969741563393e-69	0.44095019602967334	2.799507525354852e-66
10025926985	21.46961830724011	4.4900451654112956e-69	0.3429940674679439	2.799507525354852e-66
10025906803	21.703201453488088	5.872983520670547e-69	0.25902907604668174	3.6045436358115484e-66
10023823462	-21.09184299414688	6.145390970745411e-69	-0.4240311901497432	3.713707035859688e-66
10025910596	-21.01801186934265	6.654711289256668e-69	-0.38246264769979454	3.901448648388088e-66
10023847776	21.045484420142095	6.583685564542616e-69	0.1655891813715677	3.901448648388088e-66
